canonical_key,zh,en,category,unit_default,notes
cash_and_equivalents,货币资金,Cash and cash equivalents,balance_sheet,百万元,
accounts_receivable,应收账款,Accounts receivable,balance_sheet,百万元,
inventory,存货,Inventory,balance_sheet,百万元,
current_assets_total,流动资产合计,Total current assets,balance_sheet,百万元,
fixed_assets,固定资产,Property plant and equipment,balance_sheet,百万元,A股名"固定资产"H股可能拆分"Property"和"Equipment"
construction_in_progress,在建工程,Construction in progress,balance_sheet,百万元,
goodwill,商誉,Goodwill,balance_sheet,百万元,
intangible_assets,无形资产,Intangible assets,balance_sheet,百万元,
right_of_use_assets,使用权资产,Right-of-use assets,balance_sheet,百万元,IFRS 16 / CAS 21
long_term_equity_investments,长期股权投资,Long-term equity investments,balance_sheet,百万元,
investment_property,投资性房地产,Investment property,balance_sheet,百万元,
non_current_assets_total,非流动资产合计,Total non-current assets,balance_sheet,百万元,
total_assets,资产总计,Total assets,balance_sheet,百万元,
short_term_borrowings,短期借款,Short-term borrowings,balance_sheet,百万元,
accounts_payable,应付账款,Accounts payable,balance_sheet,百万元,
lease_liabilities_current,租赁负债（流动）,Lease liabilities current,balance_sheet,百万元,
current_liabilities_total,流动负债合计,Total current liabilities,balance_sheet,百万元,
long_term_borrowings,长期借款,Long-term borrowings,balance_sheet,百万元,
lease_liabilities_non_current,租赁负债（非流动）,Lease liabilities non-current,balance_sheet,百万元,
deferred_income,递延收益,Deferred income,balance_sheet,百万元,政府补助总额法
total_liabilities,负债合计,Total liabilities,balance_sheet,百万元,
paid_in_capital,实收资本/股本,Paid-in capital / Share capital,balance_sheet,百万元,
capital_reserve,资本公积,Capital reserve,balance_sheet,百万元,
other_equity_instruments,其他权益工具,Other equity instruments,balance_sheet,百万元,含永续债权益部分
retained_earnings,留存收益,Retained earnings,balance_sheet,百万元,
total_equity,所有者权益合计,Total equity,balance_sheet,百万元,
revenue,营业收入,Revenue,income_statement,百万元,
cost_of_revenue,营业成本,Cost of revenue,income_statement,百万元,
operating_profit,营业利润,Operating profit,income_statement,百万元,
profit_before_tax,利润总额,Profit before tax,income_statement,百万元,
net_profit,净利润,Net profit,income_statement,百万元,
net_profit_attributable_to_parent,归属于母公司股东的净利润,Profit attributable to owners of the parent,income_statement,百万元,
eps_basic,基本每股收益,Basic earnings per share,income_statement,元/股,
cfo_net,经营活动产生的现金流量净额,Net cash flow from operating activities,cash_flow,百万元,
cfi_net,投资活动产生的现金流量净额,Net cash flow from investing activities,cash_flow,百万元,
cff_net,筹资活动产生的现金流量净额,Net cash flow from financing activities,cash_flow,百万元,
cash_and_equivalents_end,期末现金及现金等价物余额,Cash and cash equivalents at end of period,cash_flow,百万元,
rnd_total,研发投入,R&D expenditure,note,百万元,
rnd_expensed,研发费用（费用化）,R&D expensed,note,百万元,
rnd_capitalized,研发支出（资本化）,R&D capitalized,note,百万元,核心 CAS↔IFRS 差异点
related_party_transactions_total,关联交易总额,Related party transactions total,note,百万元,
employees_total,员工总数,Total number of employees,note,人,
employees_female_pct,女性员工占比,Female employees percentage,esg,%,
scope1_emissions,范围一温室气体排放,Scope 1 GHG emissions,esg,tCO2e,
scope2_emissions,范围二温室气体排放,Scope 2 GHG emissions,esg,tCO2e,
scope3_emissions,范围三温室气体排放,Scope 3 GHG emissions,esg,tCO2e,
independent_directors_pct,独立董事占比,Independent directors percentage,governance,%,
